name,voorletter,firstname,party,residence,age,gender,seniority
            Agema, M. ,            Fleur,            PVV,            's-Gravenhage,45,            Female,            5578 days
            Amhaouch, M. ,            Mustafa,            CDA,            Panningen,52,            Male,            2360 days
            Azarkan, F. ,            Farid,            DENK,            Culemborg,50,            Male,            1924 days
            Baudet, T.H.P. ,            Thierry,            FVD,            Amsterdam,39,            Male,            1924 days
            Beckerman, S.M. ,            Sandra,            SP,            Groningen,39,            Female,            1924 days
            Belhaj, S. ,            Salima,            D66,            Rotterdam,43,            Female,            2346 days
            Bergkamp, V.A. ,            Vera,            D66,            Amsterdam,51,            Female,            3569 days
            Bevers, H. ,            Harry,            VVD,            Leeuwarden,57,            Male,            162 days
            Bisschop, R. ,            Roelof,            SGP,            Veenendaal,65,            Male,            3569 days
            Bosma, M. ,            Martin,            PVV,            Amsterdam,57,            Male,            5690 days
            Bouchallikh, K. ,            Kauthar,            GL,            Amsterdam,28,            Female,            455 days
            Boulakjar, F. ,            Faissal,            D66,            Teteringen,43,            Male,            455 days
            Bromet, L. ,            Laura,            GL,            Monnickendam,52,            Female,            1483 days
            Ceder, D.G.M. ,            Don,            CU,            Amsterdam,32,            Male,            455 days
            Dekker-Abdulaziz, H. ,            Hind,            D66,            Utrecht,40,            Female,            155 days
            Dijk, I. van,            Inge,            CDA,            Gemert,47,            Female,            455 days
            Eerdmans, B.J. ,            Joost,            JA21,            Rotterdam,51,            Male,            2107 days
            Ellemeet, C.E. ,            Corinne,            GL,            Abcoude,46,            Female,            2035 days
            Ephraim, O.R. ,            Olaf,            Groep Van Haga,            Amsterdam,56,            Male,            455 days
            Erkens, S.P.A. ,            Silvio,            VVD,            Kerkrade,31,            Male,            455 days
            Fritsma, S.R. ,            Sietse,            PVV,            's-Gravenhage,50,            Male,            5385 days
            Ginneken, L.M. van,            Lisa,            D66,            Amsterdam,50,            Female,            455 days
            Graaf, M. de,            Machiel,            PVV,            's-Gravenhage,53,            Male,            3569 days
            Graus, D.J.G. ,            Dion,            PVV,            Heerlen,55,            Male,            5690 days
            Groot, P.C. de,            Peter,            VVD,            Harderwijk,42,            Male,            455 days
            Gündogan, N. ,            Nilüfer ,            Gündogan,            Amsterdam,45,            Female,            455 days
            Haga, W.R. van,            Wybren,            Groep Van Haga,            Haarlem,55,            Male,            1703 days
            Hammelburg, A.R. ,            Alexander,            D66,            Amsterdam,40,            Male,            455 days
            Heerema, R.J. ,            Rudmer,            VVD,            Alkmaar,44,            Male,            2999 days
            Heinen, E. ,            Eelco,            VVD,            's-Gravenhage,41,            Male,            455 days
            Hermans, S.T.M. ,            Sophie,            VVD,            Vreeland,41,            Female,            1924 days
            Hil, J. van den,            Jacqueline,            VVD,            Goes,54,            Female,            455 days
            Houwelingen, P. van,            Pepijn,            FVD,            's-Gravenhage,42,            Male,            455 days
            Jansen, F.J.H. ,            Freek,            FVD,            's-Gravenhage,29,            Male,            455 days
            Jong, R.H. de,            Romke,            D66,            Gorredijk,38,            Male,            455 days
            Kat, H. ,            Hülya,            D66,            's-Gravenhage,38,            Female,            455 days
            Kent, B. van,            Bart,            SP,            's-Gravenhage,38,            Male,            1924 days
            Klaver, J.F. ,            Jesse,            GL,            's-Gravenhage,36,            Male,            4395 days
            Knops, R.W. ,            Raymond,            CDA,            Hegelsom,50,            Male,            4680 days
            Koerhuis, D.A.N. ,            Daniel,            VVD,            Raalte,40,            Male,            1924 days
            Kort, A.H.J. de,            Daan,            VVD,            Veldhoven,29,            Male,            455 days
            Kuiken, A.H. ,            Attje,            PvdA,            Breda,44,            Female,            5578 days
            Kwint, J.P. ,            Peter,            SP,            Amsterdam,37,            Male,            1924 days
            Lee, T.M.T. van der,            Tom,            GL,            Amsterdam,57,            Male,            1924 days
            Maatoug, S. ,            Senna,            GL,            Leiden,32,            Female,            455 days
            Maeijer, V. ,            Vicky,            PVV,            Krimpen aan den IJssel,35,            Female,            1812 days
            Markuszower, G. ,            Gidi,            PVV,            Amstelveen,44,            Male,            1924 days
            Meijeren, G.F.C. van,            Gideon,            FVD,            's-Gravenhage,34,            Male,            455 days
